season,gamenumber,gamedate,hteamcode,vteamcode
2011,20373,12/3/2011,BOS,TOR
2011,20374,12/3/2011,WSH,OTT
2011,20375,12/3/2011,CAR,PIT
2011,20376,12/3/2011,WPG,NJ
2011,20377,12/3/2011,TB,NYR
2011,20378,12/3/2011,STL,CHI
2011,20379,12/3/2011,NSH,BUF
2011,20380,12/3/2011,PHX,PHI
2011,20381,12/3/2011,DAL,NYI
2011,20382,12/3/2011,EDM,CGY
2011,20383,12/3/2011,SJ,FLA
2011,20384,12/4/2011,COL,DET
2011,20385,12/4/2011,ANA,MIN
2011,20386,12/4/2011,VAN,CGY
2011,20387,12/5/2011,NYR,TOR
2011,20388,12/5/2011,PIT,BOS
2011,20389,12/5/2011,OTT,TB
2011,20390,12/5/2011,FLA,WSH
2011,20391,12/5/2011,CHI,PHX
2011,20392,12/6/2011,TOR,NJ
2011,20393,12/6/2011,NYI,TB
2011,20394,12/6/2011,MTL,CBJ
2011,20395,12/6/2011,STL,DET
2011,20396,12/6/2011,NSH,PHX
2011,20397,12/6/2011,WPG,BOS
2011,20398,12/6/2011,CGY,CAR
2011,20399,12/6/2011,VAN,COL
2011,20400,12/6/2011,ANA,LA
2011,20401,12/6/2011,SJ,MIN
2011,20402,12/7/2011,OTT,WSH
2011,20403,12/7/2011,BUF,PHI
2011,20404,12/7/2011,EDM,CAR
2011,20405,12/8/2011,BOS,FLA
2011,20406,12/8/2011,NJ,OTT
2011,20407,12/8/2011,NYI,CHI
2011,20408,12/8/2011,NYR,TB
2011,20409,12/8/2011,PHI,PIT
2011,20410,12/8/2011,CBJ,NSH
2011,20411,12/8/2011,MTL,VAN
2011,20412,12/8/2011,DET,PHX
2011,20413,12/8/2011,STL,ANA
2011,20414,12/8/2011,CGY,COL
2011,20415,12/8/2011,LA,MIN
2011,20416,12/8/2011,SJ,DAL
2011,20417,12/9/2011,WSH,TOR
2011,20418,12/9/2011,BUF,FLA
2011,20419,12/9/2011,WPG,CAR
2011,20420,12/9/2011,EDM,COL
2011,20421,12/10/2011,NJ,MTL
2011,20422,12/10/2011,BUF,NYR
2011,20423,12/10/2011,OTT,VAN
2011,20424,12/10/2011,NYI,PIT
2011,20425,12/10/2011,PHI,TB
2011,20426,12/10/2011,DET,WPG
2011,20427,12/10/2011,CBJ,BOS
2011,20428,12/10/2011,STL,SJ
2011,20429,12/10/2011,NSH,ANA
2011,20430,12/10/2011,PHX,MIN
2011,20431,12/10/2011,CGY,EDM
2011,20432,12/10/2011,LA,DAL
2011,20433,12/11/2011,NYR,FLA
2011,20434,12/11/2011,CHI,SJ
2011,20435,12/12/2011,TB,NJ
2011,20436,12/13/2011,BOS,LA
2011,20437,12/13/2011,BUF,OTT
2011,20438,12/13/2011,TOR,CAR
2011,20439,12/13/2011,NYR,DAL
2011,20440,12/13/2011,PIT,DET
2011,20441,12/13/2011,WSH,PHI
2011,20442,12/13/2011,CBJ,VAN
2011,20443,12/13/2011,MTL,NYI
2011,20444,12/13/2011,FLA,NJ
2011,20445,12/13/2011,NSH,CGY
2011,20446,12/13/2011,WPG,MIN
2011,20447,12/13/2011,COL,SJ
2011,20448,12/14/2011,OTT,BOS
2011,20449,12/14/2011,MIN,CHI
2011,20450,12/14/2011,ANA,PHX
2011,20451,12/15/2011,NYI,DAL
2011,20452,12/15/2011,CAR,VAN
2011,20453,12/15/2011,CBJ,LA
2011,20454,12/15/2011,MTL,PHI
2011,20455,12/15/2011,TB,CGY
2011,20456,12/15/2011,STL,NYR
2011,20457,12/15/2011,NSH,DET
2011,20458,12/15/2011,WPG,WSH
2011,20459,12/15/2011,PHX,EDM
2011,20460,12/15/2011,SJ,COL
2011,20461,12/16/2011,NJ,DAL
2011,20462,12/16/2011,BUF,TOR
2011,20463,12/16/2011,OTT,PIT
2011,20464,12/16/2011,FLA,CGY
2011,20465,12/16/2011,CHI,ANA
2011,20466,12/17/2011,PHI,BOS
2011,20467,12/17/2011,TOR,VAN
2011,20468,12/17/2011,MTL,NJ
2011,20469,12/17/2011,PIT,BUF
2011,20470,12/17/2011,WPG,ANA
2011,20471,12/17/2011,DET,LA
2011,20472,12/17/2011,CBJ,TB
2011,20473,12/17/2011,NSH,STL
2011,20474,12/17/2011,MIN,NYI
2011,20475,12/17/2011,PHX,NYR
2011,20476,12/17/2011,COL,WSH
2011,20477,12/17/2011,SJ,EDM
2011,20478,12/18/2011,FLA,CAR
2011,20479,12/18/2011,CHI,CGY
2011,20480,12/18/2011,STL,CBJ
2011,20481,12/19/2011,BOS,MTL
2011,20482,12/19/2011,TOR,LA
2011,20483,12/19/2011,DAL,ANA
2011,20484,12/19/2011,COL,PHI
2011,20485,12/19/2011,EDM,DET
2011,20486,12/19/2011,VAN,MIN
2011,20487,12/20/2011,NJ,NYR
2011,20488,12/20/2011,PIT,CHI
2011,20489,12/20/2011,WSH,NSH
2011,20490,12/20/2011,OTT,BUF
2011,20491,12/20/2011,FLA,PHX
2011,20492,12/20/2011,WPG,NYI
2011,20493,12/20/2011,CGY,MIN
2011,20494,12/21/2011,CAR,PHX
2011,20495,12/21/2011,CHI,MTL
2011,20496,12/21/2011,DAL,PHI
2011,20497,12/21/2011,COL,STL
2011,20498,12/21/2011,VAN,DET
2011,20499,12/21/2011,SJ,TB
2011,20500,12/22/2011,TOR,BUF
2011,20501,12/22/2011,NYR,NYI
2011,20502,12/22/2011,OTT,FLA
2011,20503,12/22/2011,NSH,CBJ
2011,20504,12/22/2011,WPG,MTL
2011,20505,12/22/2011,CGY,DET
2011,20506,12/22/2011,EDM,MIN
2011,20507,12/22/2011,LA,ANA
2011,20508,12/23/2011,BOS,FLA
2011,20509,12/23/2011,NJ,WSH
2011,20510,12/23/2011,NYI,TOR
2011,20511,12/23/2011,NYR,PHI
2011,20512,12/23/2011,CAR,OTT
2011,20513,12/23/2011,WPG,PIT
2011,20514,12/23/2011,DAL,NSH
2011,20515,12/23/2011,COL,TB
2011,20516,12/23/2011,PHX,STL
2011,20517,12/23/2011,VAN,CGY
2011,20518,12/23/2011,SJ,LA
2011,20519,12/26/2011,MIN,COL
2011,20520,12/26/2011,BUF,WSH
2011,20521,12/26/2011,NYR,NYI
2011,20522,12/26/2011,CAR,NJ
2011,20523,12/26/2011,STL,DAL
2011,20524,12/26/2011,NSH,DET
2011,20525,12/26/2011,CHI,CBJ
2011,20526,12/26/2011,VAN,EDM
2011,20527,12/26/2011,LA,PHX
